2024-07-09,"Український БПЛА наносить удар по монтажно-випробувальному корпусу на площадці №105 Локація: 4-й державний центральний міжвидовий полігон, ахтюбінський район, астрахань, т.зв.росія `48.649409,46.193986` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/48.649409/46.193986)","48.649409,46.193986",48.649409,46.193986,Russia,Astrakhan Oblast,Liquidation Type,Attack Info,Object Type,Object Name,Weapon Type Used,Weapon Name,Special FLAG
2024-07-09,"росіяни з сумом публікують відео пожежі після збиття українського БПЛА, що летів демілітаризувати їхнє місто Локація: ахтубинск, т.зв. росія `48.288303,46.174244` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/48.288303/46.174244)","48.288303,46.174244",48.288303,46.174244,Russia,Astrakhan Oblast,,,,,,,
2024-11-29,"В Криму було уражено, імовірно, позицію С-400 ""Тріумф"" Локація: н.п. Курганне, Сімферопольский район __Поруч з полем в якому було уражено ЗРК знаходиться колишня стаціонарна позиція С-400. Перестала використовуватися після постійних ударів ракет та БПЛА по Криму. Але позиція й поле знаходяться на висоті, отже, імовірно, сьогодні ЗРК вирішило зайняти вогневу в полі через гарну топографію для цього.__ оператор - `45.0470119, 33.9528420` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/45.0470119/33.9528420) район ураження - `45.0758911, 33.9235118` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/45.0758911/33.9235118)","45.0470119, 33.9528420",45.0470119,33.952842,Ukraine,Autonomous Republic of Crimea,,,,,,,
2024-10-30,"Ураження ЗРК С-300/С-400 в Криму у ніч з 27 на 28 жовтня. Ми проаналізували SAR знімки Sentinel за 13 та 24 жовтня поблизу населеного пункту Русаківка в Криму. На них видно переміщення ЗРК типу С-300/С-400. Супутниковий знімок після удару демонструє розриви від касетних суббоєприпасів ATACMS і сліди що залишились після ураження елементів ЗРК. Ступінь ураження комплексу залишається невідомою, але він покинув бойову позицію та припинив свою роботу в цьому районі. [45.125230, 34.511940](https://cyber-boroshno.com.ua/#15/45.125230/34.511940)","45.125230, 34.511940",45.12523,34.51194,Ukraine,Autonomous Republic of Crimea,,,,,,,
2024-10-07,"Сили Оборони України уразили нафтобазу в Феодосії Локація: Феодосія, т.о. Крим оператор - `45.039299,35.369407` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/45.039299/35.369407)","45.039299,35.369407",45.039299,35.369407,Ukraine,Autonomous Republic of Crimea,,,,,,,
2024-10-01,"22.09.2024 кримські тг-канали писали про вибухи в районі н.п. Азовське. Проаналізувавши знімки за 25.09.2024, наша команда прийшла до висновку, що була атакована позиція С-300/400 за даними координатами - ~[45.667060,34.534360](https://cyber-boroshno.com.ua/#15/45.667060/34.534360) На жаль, ідентифікувати уражену техніку та ступінь пошкодження за наявними в нас знімками не є можливим. __ТГ зіпсував якість, тому додали файл в коментарях.__","45.667060,34.534360",45.66706,34.53436,Ukraine,Autonomous Republic of Crimea,,,,,,,
2024-09-22,"На Керченському мосту з'явилися вежі з ЗРГК ""Панцирь-С1"". `45.288760,36.522000`","45.288760,36.522000",45.28876,36.522,Ukraine,Autonomous Republic of Crimea,,,,,,,
2024-08-10,"Ураження чергового ""тунця"" в т.о. Криму воїнами спецпідрозділу ГУР МО ""Group 13"" Локація: Вузька бухта – смт. Чорноморське, ТОТ Крим [Джерело](https://t.me/DIUkraine/4236) `45.513356, 32.692793` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/45.513356/32.692793)","45.513356, 32.692793",45.513356,32.692793,Ukraine,Autonomous Republic of Crimea,,,,,,,
2024-07-30,"В Керчі горить підстанція ""Центральная"" на 110кВ Локація: Керч, ТО Крим __Ворожі ресурси повідомляють про серію пож__е__ж на чотирьох підстанціях та можливу диверсію.__ `45.361846,36.467310` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/45.361846/36.467310)","45.361846,36.467310",45.361846,36.46731,Ukraine,Autonomous Republic of Crimea,,,,,,,
2024-07-18,"Телеграм-канал ""Крымский Ветер"" оприлюднив [пост](https://t.me/Crimeanwind/63952) з наслідками пожежі біля великої військової рембази + стоянки техніки вс рф біля н.п. Новоозерне, ТО Крим. Чи була атака успішною буде відомо, коли з'являться актуальні супутникові знімки, але рембаза жирна й ліквідувати фахівців, що там працюють вже було б успіхом. район слідів горіння - `45.397463,33.141061` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/45.397463/33.141061)","45.397463,33.141061",45.397463,33.141061,Ukraine,Autonomous Republic of Crimea,,,,,,,
